Chitralahari,2D
Majili,2D
Shazam!,2D
Shazam!,2D-4DX
Kalank,2D
Hellboy,2D
The Tashkent Files,2D
Lucifer ,2D
Kesari,2D
Dumbo,3D
Dumbo,2D
Romeo Akbar Walter,2D
Pet Sematary,2D
Pet Sematary,2D-4DX
Badla,2D
How To Train Your Dragon: The Hidden World,3D
How To Train Your Dragon: The Hidden World,2D
How To Train Your Dragon: The Hidden World,3D-4DX
Super Deluxe,2D
Captain Marvel,3D
Captain Marvel,3D-4DX
Captain Marvel,2D
Paharganj,2D
The Least Of These,2D
Kavaludaari,2D
Five Feet Apart ,2D
Sahasaputrudu,2D
URI - The Surgical Strike,2D
Jessie,2D
Prema Katha Chitram 2,2D
Free Solo,2D
Jersey,2D
Junglee,2D
Vinci Da,2D
Luka Chuppi,2D
Runam,2D
Phir Ussi Mod Par Talaq,2D
Puli Joodham,2D
Farishtay,2D
KPOP IN2IT Live Performance,N/A
Payanigaru,N/A
The Curse Of The Weeping Woman,N/A
After,N/A
The Voyage Of Doctor Dolittle,N/A
Miracle,N/A
Kanchana 3,N/A
Miranda House,N/A
Thrayambakam,N/A
Howla Howla,N/A
Punarvasu Nakshathra Mithuna Rashi,N/A
Paddehuli,N/A
Naukar Vahuti Da,N/A
Marvel Movie Marathon,N/A
Diksoochi,N/A
Oru Yamandan Prema Kadha,N/A
Avengers: Endgame,N/A
KaaGaR,N/A
Ombathane Adbutha,N/A
Gara,N/A
Nadhoo Khan,N/A
Ke Tumi Nandini,N/A
Jyeshthoputro,N/A
Mr. Local,N/A
Arjun Suravaram,N/A
Vijayaratha ,N/A
Setters,N/A
Hansa Ek Sanyog,N/A
Blank,N/A
Gunwali Dulhaniya,N/A
Uglydolls,N/A
Baalaa,N/A
Jeem Boom Bhaa,N/A
Jind Jaan,N/A
Blackia,N/A
Maharshi,N/A
Chhota Bheem: Kung Fu Dhamaka,N/A
Student Of The Year 2,N/A
Pokemon Detective Pikachu,N/A
BRIGHTBURN,N/A
Ayogya,N/A
Ek Hota Pani,N/A
Anushka,N/A
Lukan Michi,N/A
Durgeshgorer Guptodhon,N/A
Chase,N/A
De De Pyaar De,N/A
The Sun Is Also A Star,N/A
The Hustle,N/A
John Wick: Chapter 3 - Parabellum,N/A
A Dogs Journey,N/A
Rampaat,N/A
Gangstar vs State,N/A
Chaturnath,N/A
Mental Hai Kya,N/A
India's Most Wanted,N/A
Aladdin,N/A
Ad Astra,N/A
Judgement,N/A
Muklawa,N/A
Chandigarh Amritsar Chandigarh,N/A
Godzilla 2: King of the Monsters,N/A
Rocketman,N/A
MA,N/A
Dear Comrade,N/A
NGK,N/A
BaBo,N/A
Bharat,N/A
 X-Men: Dark Phoenix,N/A
Mogra Phulaalaa,N/A
Toy Story 4,N/A
Kabir Singh,N/A
Shadaa,N/A
Drive,N/A
Annabelle Comes Home,N/A
Takatak,N/A
Adham,N/A
Mindo Taseeldarni,N/A
Satellite Shankar,N/A
Spider-Man: Far From Home,N/A
Jabariya Jodi,N/A
Jai Mummy Di,N/A
A Biopic from the Film Industry,N/A
Top Gun: Maverick,N/A
Jaddi Sardar,N/A
The Lion King,N/A
Pal Pal Dil Ke Paas,N/A
Arjun Patiala,N/A
Smile Please,N/A
Super 30,N/A
Hobbs and Shaw,N/A
Once Upon A Time In Hollywood,N/A
Stuber,N/A
The New Mutants,N/A
Dora And The Lost City Of Gold,N/A
Artemis Fowl,N/A
Batla House,N/A
Made In China,N/A
Saaho,N/A
Ye Re Ye Re Paisa 2,N/A
Bayko Deta Ka Bayko,N/A
Chhichhore,N/A
Good News,N/A
It: Chapter 2,N/A
Dream Girl,N/A
Spies In Disguise,N/A
Daaka,N/A
Nikka Zaildar 3,N/A
Abominable,N/A
Doorbeen,N/A
Gaalib,N/A
Rambo,N/A
Marjaavaan,N/A
Gemini Man,N/A
The Woman In The Window,N/A
Joker,N/A
Password,N/A
The Sky Is Pink,N/A
Jungle Cruise ,N/A
Maleficent 2,N/A
Kaithi,N/A
Jinde Meriye,N/A
ABCD 3,N/A
Street Dancer 3,N/A
Terminator,N/A
Frozen 2,N/A
Dil Bechara,N/A
Panipat,N/A
Pati Patni Aur Woh,N/A
Oka Tupaki Moodu Pittalu,N/A
Yesu Kristu Rendava Rakada,N/A
Jumanji 3,N/A
Kosrakollikal,N/A
The Call Of The Wild,N/A
Taanaji: The Unsung Warrior,N/A
Bad Boys for Life,N/A
Panga,N/A
Paani,N/A
Baaghi 3,N/A
Gambit,N/A
Bhuj The Pride Of India,N/A
Rooh Afza,N/A
Sadak 2,N/A
'83,N/A
Hera Pheri ,N/A
Fast and Furious 9,N/A
Puaada,N/A
Phatte Dinde Chakk Punjabi,N/A
Romeo Akbar Walter,2D
The Tashkent Files,2D
Shazam!,2D
Shazam!,IMAX-2D
Shazam!,2D-4DX
Wedding Cha Shinema,2D
Kesari,2D
Dumbo,3D
Dumbo,3D-4DX
Dumbo,2D
Madhuraraja,2D
Kalank,2D
Badla,2D
Pet Sematary,2D
Pet Sematary,2D-4DX
Hellboy,2D
Hellboy,IMAX-2D
Hellboy,2D-4DX
Junglee,2D
Lucifer ,2D
Chitralahari,2D
How To Train Your Dragon: The Hidden World,3D
How To Train Your Dragon: The Hidden World,3D-4DX
Captain Marvel,3D
Manje Bistre 2 ,2D
Luka Chuppi,2D
Chaal Jeevi Laiye,2D
Five Feet Apart ,2D
Majili,2D
Vinci Da,2D
Paharganj,2D
Total Dhamaal,2D
Free Solo,2D
Kachindo,2D
Super Deluxe,2D
Us,2D
Betiyon Ki Balle Balle (Kargil Se Kanyakumari),2D
Gully Boy,2D
Albert Pinto Ko Gussa Kyun Aata Hai?,2D
Basu Paribar,2D
Bhobishyoter Bhoot,2D
Kavaludaari,2D
The Least Of These,2D
Kahi Kshan Premache,2D
Dilwale Dulhania Le Jayenge,2D
Gangs Of Madras,2D
Gun Pe Done,2D
Phir Ussi Mod Par Talaq,2D
Notebook,2D
Tarikh,2D
Blackboard VS Whiteboard,2D
12 Angry Men (1956),2D
God Of Gods,2D
Wonder Park,2D
Menka Urvashi,2D
Ramai,2D
Nirahua Chalal London,2D
Temper,2D
H2O,2D
Ek Haqiqat Ganga,2D
KPOP IN2IT Live Performance,2D
San 1981,2D
Vishal Singh Bane Raajkumar,2D
Payanigaru,N/A
The Curse Of The Weeping Woman,N/A
After,N/A
The Voyage Of Doctor Dolittle,N/A
Kanchana 3,N/A
Miracle,N/A
Jersey,N/A
Miranda House,N/A
Thrayambakam,N/A
Howla Howla,N/A
Punarvasu Nakshathra Mithuna Rashi,N/A
Paddehuli,N/A
Naukar Vahuti Da,N/A
Marvel Movie Marathon,N/A
Diksoochi,N/A
Oru Yamandan Prema Kadha,N/A
Avengers: Endgame,N/A
KaaGaR,N/A
Ombathane Adbutha,N/A
Gara,N/A
Nadhoo Khan,N/A
Ke Tumi Nandini,N/A
Jyeshthoputro,N/A
Mr. Local,N/A
Arjun Suravaram,N/A
Vijayaratha ,N/A
Setters,N/A
Hansa Ek Sanyog,N/A
Blank,N/A
Gunwali Dulhaniya,N/A
Uglydolls,N/A
Baalaa,N/A
Jeem Boom Bhaa,N/A
Jind Jaan,N/A
Blackia,N/A
Maharshi,N/A
Chhota Bheem: Kung Fu Dhamaka,N/A
Student Of The Year 2,N/A
Pokemon Detective Pikachu,N/A
BRIGHTBURN,N/A
Ayogya,N/A
Ek Hota Pani,N/A
Anushka,N/A
Lukan Michi,N/A
Durgeshgorer Guptodhon,N/A
Chase,N/A
De De Pyaar De,N/A
The Sun Is Also A Star,N/A
The Hustle,N/A
John Wick: Chapter 3 - Parabellum,N/A
A Dogs Journey,N/A
Rampaat,N/A
Gangstar vs State,N/A
Chaturnath,N/A
Mental Hai Kya,N/A
India's Most Wanted,N/A
Aladdin,N/A
Ad Astra,N/A
Judgement,N/A
Muklawa,N/A
Chandigarh Amritsar Chandigarh,N/A
Godzilla 2: King of the Monsters,N/A
Rocketman,N/A
MA,N/A
Dear Comrade,N/A
NGK,N/A
BaBo,N/A
Bharat,N/A
 X-Men: Dark Phoenix,N/A
Mogra Phulaalaa,N/A
Toy Story 4,N/A
Kabir Singh,N/A
Shadaa,N/A
Drive,N/A
Annabelle Comes Home,N/A
Takatak,N/A
Adham,N/A
Mindo Taseeldarni,N/A
Satellite Shankar,N/A
Spider-Man: Far From Home,N/A
Jabariya Jodi,N/A
Jai Mummy Di,N/A
A Biopic from the Film Industry,N/A
Top Gun: Maverick,N/A
Jaddi Sardar,N/A
The Lion King,N/A
Pal Pal Dil Ke Paas,N/A
Arjun Patiala,N/A
Smile Please,N/A
Super 30,N/A
Hobbs and Shaw,N/A
Once Upon A Time In Hollywood,N/A
Stuber,N/A
The New Mutants,N/A
Dora And The Lost City Of Gold,N/A
Artemis Fowl,N/A
Batla House,N/A
Made In China,N/A
Saaho,N/A
Ye Re Ye Re Paisa 2,N/A
Bayko Deta Ka Bayko,N/A
Chhichhore,N/A
Good News,N/A
It: Chapter 2,N/A
Dream Girl,N/A
Spies In Disguise,N/A
Daaka,N/A
Nikka Zaildar 3,N/A
Abominable,N/A
Doorbeen,N/A
Gaalib,N/A
Rambo,N/A
Marjaavaan,N/A
Gemini Man,N/A
The Woman In The Window,N/A
Joker,N/A
Password,N/A
The Sky Is Pink,N/A
Jungle Cruise ,N/A
Maleficent 2,N/A
Kaithi,N/A
Jinde Meriye,N/A
ABCD 3,N/A
Street Dancer 3,N/A
Terminator,N/A
Frozen 2,N/A
Dil Bechara,N/A
Panipat,N/A
Pati Patni Aur Woh,N/A
Oka Tupaki Moodu Pittalu,N/A
Yesu Kristu Rendava Rakada,N/A
Jumanji 3,N/A
Kosrakollikal,N/A
The Call Of The Wild,N/A
Taanaji: The Unsung Warrior,N/A
Bad Boys for Life,N/A
Panga,N/A
Paani,N/A
Baaghi 3,N/A
Gambit,N/A
Bhuj The Pride Of India,N/A
Rooh Afza,N/A
Sadak 2,N/A
'83,N/A
Hera Pheri ,N/A
Fast and Furious 9,N/A
Puaada,N/A
Phatte Dinde Chakk Punjabi,N/A
Natpe Thunai,2D
Uriyadi 2,2D
Watchman,2D
Super Deluxe,2D
Majili,2D
Chitralahari,2D
Madhuraraja,2D
Lucifer ,2D
Dumbo,3D
Dumbo,2D
Shazam!,2D
Shazam!,IMAX-2D
Hellboy,2D
Hellboy,IMAX-2D
Pet Sematary,2D
How To Train Your Dragon: The Hidden World,3D
The Least Of These,2D
Gangs Of Madras,2D
The Tashkent Files,2D
Kalank,2D
Thadam,2D
Captain Marvel,3D
Airaa,2D
Kavaludaari,2D
Kuppathu Raja,2D
Five Feet Apart ,2D
Badla,2D
Zhagaram,2D
Kesari,2D
Ispade Rajavum Idhaya Raniyum,2D
Romeo Akbar Walter,2D
Rocky The Revenge,2D
Free Solo,2D
Us,2D
LKG,2D
To Let,2D
Avengers: Infinity War,3D
90 ML,2D
Police Dada,2D
KPOP IN2IT Live Performance,N/A
Payanigaru,N/A
The Curse Of The Weeping Woman,N/A
The Voyage Of Doctor Dolittle,N/A
After,N/A
Kanchana 3,N/A
Miracle,N/A
Jersey,N/A
Miranda House,N/A
Paddehuli,N/A
Punarvasu Nakshathra Mithuna Rashi,N/A
Thrayambakam,N/A
Howla Howla,N/A
Naukar Vahuti Da,N/A
Marvel Movie Marathon,N/A
Diksoochi,N/A
Oru Yamandan Prema Kadha,N/A
Avengers: Endgame,N/A
KaaGaR,N/A
Ombathane Adbutha,N/A
Gara,N/A
Nadhoo Khan,N/A
Ke Tumi Nandini,N/A
Jyeshthoputro,N/A
Mr. Local,N/A
Arjun Suravaram,N/A
Vijayaratha ,N/A
Setters,N/A
Hansa Ek Sanyog,N/A
Blank,N/A
Gunwali Dulhaniya,N/A
Uglydolls,N/A
Baalaa,N/A
Jeem Boom Bhaa,N/A
Jind Jaan,N/A
Blackia,N/A
Maharshi,N/A
Chhota Bheem: Kung Fu Dhamaka,N/A
Student Of The Year 2,N/A
Pokemon Detective Pikachu,N/A
BRIGHTBURN,N/A
Ayogya,N/A
Ek Hota Pani,N/A
Anushka,N/A
Lukan Michi,N/A
Durgeshgorer Guptodhon,N/A
Chase,N/A
De De Pyaar De,N/A
The Sun Is Also A Star,N/A
The Hustle,N/A
John Wick: Chapter 3 - Parabellum,N/A
A Dogs Journey,N/A
Rampaat,N/A
Gangstar vs State,N/A
Chaturnath,N/A
Mental Hai Kya,N/A
India's Most Wanted,N/A
Aladdin,N/A
Ad Astra,N/A
Judgement,N/A
Muklawa,N/A
Chandigarh Amritsar Chandigarh,N/A
Godzilla 2: King of the Monsters,N/A
Rocketman,N/A
MA,N/A
Dear Comrade,N/A
NGK,N/A
BaBo,N/A
Bharat,N/A
 X-Men: Dark Phoenix,N/A
Mogra Phulaalaa,N/A
Toy Story 4,N/A
Kabir Singh,N/A
Shadaa,N/A
Drive,N/A
Annabelle Comes Home,N/A
Takatak,N/A
Adham,N/A
Mindo Taseeldarni,N/A
Satellite Shankar,N/A
Spider-Man: Far From Home,N/A
Jabariya Jodi,N/A
Jai Mummy Di,N/A
A Biopic from the Film Industry,N/A
Top Gun: Maverick,N/A
Jaddi Sardar,N/A
The Lion King,N/A
Pal Pal Dil Ke Paas,N/A
Arjun Patiala,N/A
Smile Please,N/A
Super 30,N/A
Hobbs and Shaw,N/A
Once Upon A Time In Hollywood,N/A
Stuber,N/A
The New Mutants,N/A
Dora And The Lost City Of Gold,N/A
Artemis Fowl,N/A
Batla House,N/A
Made In China,N/A
Saaho,N/A
Ye Re Ye Re Paisa 2,N/A
Bayko Deta Ka Bayko,N/A
Chhichhore,N/A
Good News,N/A
It: Chapter 2,N/A
Dream Girl,N/A
Spies In Disguise,N/A
Daaka,N/A
Nikka Zaildar 3,N/A
Abominable,N/A
Doorbeen,N/A
Gaalib,N/A
Rambo,N/A
Marjaavaan,N/A
Gemini Man,N/A
The Woman In The Window,N/A
Joker,N/A
Password,N/A
The Sky Is Pink,N/A
Jungle Cruise ,N/A
Maleficent 2,N/A
Kaithi,N/A
Jinde Meriye,N/A
ABCD 3,N/A
Street Dancer 3,N/A
Terminator,N/A
Frozen 2,N/A
Dil Bechara,N/A
Panipat,N/A
Pati Patni Aur Woh,N/A
Oka Tupaki Moodu Pittalu,N/A
Yesu Kristu Rendava Rakada,N/A
Jumanji 3,N/A
Kosrakollikal,N/A
The Call Of The Wild,N/A
Taanaji: The Unsung Warrior,N/A
Bad Boys for Life,N/A
Panga,N/A
Paani,N/A
Baaghi 3,N/A
Gambit,N/A
Bhuj The Pride Of India,N/A
Rooh Afza,N/A
Sadak 2,N/A
'83,N/A
Hera Pheri ,N/A
Fast and Furious 9,N/A
Puaada,N/A
